"","Year","BLVU","TUVU","OSPR","BAEAU","BAEAI","BAEAA","NOHA","SSHA","COHA","NOGO","RSHA","BWHA","RTHA","RLHA","SWHA","GOEAU","GOEAI","GOEAA","AMKE","MERL","PEFA","GYRF","TOTRAP"
"21",1957,0,0.287855297157623,0.52442405785429,0,0.00419896640826873,0.0745893318567737,0.315527786167321,3.73461693345414,0.299183277962348,0.14796973052787,0.31766334440753,13.2510528876808,4.13975175341454,0.0122739018087855,0,0,0.021686969361388,0.0482373569582872,0.260631648713044,0.0290697674418605,0.022609819121447,0,23.6358611027216
"22",1958,0,0.0252677376171352,0.496318607764391,0,0.00937081659973226,0.052710843373494,0.315763052208835,2.4530263912794,0.250597628609677,0.0301443870720979,0.66802925989673,11.921686746988,4.61899024670109,0.00172117039586919,0,0.00133868808567604,0.0115461847389558,0.0453958691910499,0.299531459170013,0.0254350736278447,0.0416666666666667,0,21.4216532797858
"23",1959,0,0.0369791666666667,0.452723214285714,0,0.0217013888888889,0.0561805555555556,0.396215277777778,4.11741071428571,0.253993055555556,0.0418402777777778,0.534627976190476,7.39985615079365,2.96108134920635,0.0246527777777778,0,0.00208333333333333,0.0107638888888889,0.0399305555555556,0.407380952380952,0.0237103174603175,0.0484722222222222,0,16.9435168650794
"24",1960,0,0.00735294117647059,0.370915032679739,0,0.00294117647058824,0.0369281045751634,0.339869281045752,3.04411764705882,0.17140522875817,0.0286601307189542,0.450555555555556,14.8428104575163,3.57875816993464,0.0398692810457516,0,0.00130718954248366,0.0179738562091503,0.0282352941176471,0.352287581699346,0.0343137254901961,0.0284313725490196,0,23.4468954248366
"25",1961,0,0.194613821138211,0.402913279132791,0,0.0149051490514905,0.0410569105691057,0.373915989159892,2.36832655826558,0.14400406504065,0.125169376693767,0.442073170731707,11.639972899729,3.70792682926829,0.0486111111111111,0,0.00508130081300813,0.0167682926829268,0.0487804878048781,0.639058265582656,0.0203252032520325,0.0274390243902439,0,20.4242208672087
"26",1962,0,0,0.45868660472319,0,0.0174457994579946,0.0458865660085172,0.276906697638405,3.02833914053426,0.111735385210995,0.0617982965543941,0.382888114595432,11.418568524971,4.27609368950832,0.0130420054200542,0,0,0.0199864498644986,0.0384969028261711,0.667503871467286,0.0281165311653117,0.0439363143631436,0,21.0251258226868
"27",1963,0,0.241319444444444,0.246811868686869,0,0.0138888888888889,0.0172032828282828,0.231155303030303,2.00770202020202,0.095959595959596,0.0395472582972583,0.271058802308802,12.589898989899,4.78021284271284,0.00820707070707071,0,0,0.00789141414141414,0.0277777777777778,0.329419191919192,0.0328914141414141,0.0300505050505051,0,21.0988997113997
"28",1964,0,0.0402298850574713,0.425725647277371,0,0.007590270521305,0.0262103796586555,0.241904678973645,1.73797747590851,0.0811302681992337,0.0255427841634738,0.308269476372925,13.1053349587832,3.82088122605364,0.0204342273307791,0,0,0.00814176245210728,0.0279374201787995,0.297082897944967,0.0127713920817369,0.0247445721583653,0,20.250159642401
"29",1965,0,0.113453815261044,0.617670682730924,0.00133868808567604,0.0113788487282463,0.0398259705488621,0.245883534136546,4.12861445783133,0.135542168674699,0.157530120481928,0.430689424364123,12.5204149933066,4.89243641231593,0.00686077643908969,0,0.00150602409638554,0.0150602409638554,0.0314591700133869,0.522523427041499,0.0271084337349398,0.0173025435073628,0,24.07640562249
"30",1966,0,0,0.779310344827586,0,0.0103448275862069,0.0344827586206897,0.277586206896552,4.97068965517241,0.141379310344828,0.0379310344827586,0.339655172413793,17.4362068965517,3.68448275862069,0.00517241379310345,0,0.00172413793103448,0.00689655172413793,0.0120689655172414,1.03103448275862,0.0362068965517241,0.0379310344827586,0,29.3051724137931
