food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
POTATOES,79.25,77,2.05,0.09,17.49,2.1,12,0.81,23,57,425,6,0.3,0.11,19.7,0.081,0.032,1.061,0.298,15,2,75
PUMPKIN,91.6,26,1,0.1,6.5,0.5,21,0.8,12,44,340,1,0.32,0.127,9,0.05,0.11,0.6,0.061,16,8513,116
RADICCHIO,93.14,23,1.43,0.25,4.48,0.9,19,0.57,13,40,302,22,0.62,0.341,8,0.016,0.028,0.255,0.057,60,27,40
RADISHES,95.27,16,0.68,0.1,3.4,1.6,25,0.34,10,20,233,39,0.28,0.05,14.8,0.012,0.039,0.254,0.071,25,7,116
RED TOMATOES,94.52,18,0.88,0.2,3.89,1.2,10,0.27,11,24,237,5,0.17,0.059,13.7,0.037,0.019,0.594,0.08,15,833,149
ROMAINE LETTUCE,94.61,17,1.23,0.3,3.29,2.1,33,0.97,14,30,247,8,0.23,0.048,4,0.072,0.067,0.313,0.074,136,8710,47
RUTABAGAS,89.43,37,1.08,0.16,8.62,2.3,43,0.44,20,53,305,12,0.24,0.032,25,0.09,0.04,0.7,0.1,21,2,140
SALSIFY,77,82,3.3,0.2,18.6,3.3,60,0.7,23,75,380,20,0.38,0.089,8,0.08,0.22,0.5,0.277,26,0,133
SCALLIONS,89.83,32,1.83,0.19,7.34,2.6,72,1.48,20,37,276,16,0.39,0.083,18.8,0.055,0.08,0.525,0.061,64,997,100
SHALLOTS,79.8,72,2.5,0.1,16.8,3.2,37,1.2,21,60,334,12,0.4,0.088,8,0.06,0.02,0.2,0.345,34,4,10
SNAP BEANS,90.32,31,1.83,0.22,6.97,2.7,37,1.03,25,38,211,6,0.24,0.069,12.2,0.082,0.104,0.734,0.141,33,690,100
SOYBEANS,67.5,147,12.95,6.8,11.05,4.2,197,3.55,65,194,620,15,0.99,0.128,29,0.435,0.175,1.65,0.065,165,180,256
SPAGHETTI SQUASH,91.6,31,0.64,0.57,6.91,1.5,23,0.31,12,12,108,17,0.19,0.037,2.1,0.037,0.018,0.95,0.101,12,120,101
SPINACH,91.4,23,2.86,0.39,3.63,2.2,99,2.71,79,49,558,79,0.53,0.13,28.1,0.078,0.189,0.724,0.195,194,9377,30
STRAW MUSHROOMS,89.88,32,3.83,0.68,4.64,2.5,10,1.43,7,61,78,384,0.67,0.133,0,0.013,0.07,0.224,0.014,38,0,182
SUMMER SQUASH,94.64,16,1.21,0.18,3.35,1.1,15,0.35,17,38,262,2,0.29,0.051,17,0.048,0.142,0.487,0.218,29,200,113
SWAMP CABBAGE,92.47,19,2.6,0.2,3.14,2.1,77,1.67,71,39,312,113,0.18,0.023,55,0.03,0.1,0.9,0.096,57,6300,56
SWEET GREEN PEPPER,93.89,20,0.86,0.17,4.64,1.7,10,0.34,10,20,175,3,0.13,0.066,80.4,0.057,0.028,0.48,0.224,10,370,149
SWEET POTATO,77.28,86,1.57,0.05,20.12,3,30,0.61,25,47,337,55,0.3,0.151,2.4,0.078,0.061,0.557,0.209,11,14187,133
SWEET RED PEPPER,92.21,31,0.99,0.3,6.03,2.1,7,0.43,12,26,211,4,0.25,0.017,127.7,0.054,0.085,0.979,0.291,46,3131,149
SWEET YELLOW PEPPER,92.02,27,1,0.21,6.32,0.9,11,0.46,12,24,212,2,0.17,0.107,183.5,0.028,0.025,0.89,0.168,26,200,186
SWISS CHARD,92.66,19,1.8,0.2,3.74,1.6,51,1.8,81,46,379,213,0.36,0.179,30,0.04,0.09,0.4,0.099,14,6116,36
TARO,70.64,112,1.5,0.2,26.46,4.1,43,0.55,33,84,591,11,0.23,0.172,4.5,0.095,0.025,0.6,0.283,22,76,104
TARO LEAVES,85.66,42,4.98,0.74,6.7,3.7,107,2.25,45,60,648,3,0.41,0.27,52,0.209,0.456,1.513,0.146,126,4825,28
TOMATILLOS,91.63,32,0.96,1.02,5.84,1.9,7,0.62,20,39,268,1,0.22,0.079,11.7,0.044,0.035,1.85,0.056,7,114,34
TURNIP GREENS,89.67,32,1.5,0.3,7.13,3.2,190,1.1,31,42,296,40,0.19,0.35,60,0.07,0.1,0.6,0.263,194,11587,55
TURNIPS,91.87,28,0.9,0.1,6.43,1.8,30,0.3,11,27,191,67,0.27,0.085,21,0.04,0.03,0.4,0.09,15,0,130
WAKAME SEAWEED,79.99,45,3.03,0.64,9.14,0.5,150,2.18,107,80,50,872,0.38,0.284,3,0.06,0.23,1.6,0.002,196,360,10
WASABI ROOT,69.11,109,4.8,0.63,23.54,7.8,128,1.03,69,80,568,17,1.62,0.155,41.9,0.131,0.114,0.743,0.274,18,35,130
WATERCHESTNUTS,73.46,97,1.4,0.1,23.94,3,11,0.06,22,63,584,14,0.5,0.326,4,0.14,0.2,1,0.328,16,0,62
WATERCRESS,95.11,11,2.3,0.1,1.29,0.5,120,0.2,21,60,330,41,0.11,0.077,43,0.09,0.12,0.2,0.129,9,3191,34
WAXGOURD,96.1,13,0.4,0.2,3,2.9,19,0.4,10,19,6,111,0.61,0.023,13,0.04,0.11,0.4,0.035,5,0,132
WHITE CORN,75.96,86,3.22,1.18,19.02,2.7,2,0.52,37,89,270,15,0.45,0.054,6.8,0.2,0.06,1.7,0.055,46,1,73
WHITE FLOWERED GOURD,95.54,14,0.62,0.02,3.39,0.5,26,0.2,11,13,150,2,0.7,0.026,10.1,0.029,0.022,0.32,0.04,6,16,58
WHITE MUSHROOMS,92.45,22,3.09,0.34,3.26,1,3,0.5,9,86,318,5,0.52,0.318,2.1,0.081,0.402,3.607,0.104,17,0,70
WINTER SQUASH,89.76,34,0.95,0.13,8.59,1.5,28,0.58,14,23,350,4,0.21,0.071,12.3,0.03,0.062,0.5,0.156,24,1367,116
YAM,69.6,118,1.53,0.17,27.88,4.1,17,0.54,21,55,816,9,0.24,0.178,17.1,0.112,0.032,0.552,0.293,23,138,150
YAUTIA,73.06,98,1.46,0.4,23.63,1.5,9,0.98,24,51,598,21,0.5,0.257,5.2,0.097,0.04,0.667,0.237,17,8,135
YELLOW CORN,76.05,86,3.27,1.35,18.7,2,2,0.52,37,89,270,15,0.46,0.054,6.8,0.155,0.055,1.77,0.093,42,187,145
ZUCCHINI,92.73,21,2.71,0.4,3.11,1.1,21,0.79,33,93,459,3,0.83,0.097,34.1,0.042,0.036,0.705,0.142,20,490,16
