Year 12. site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,30,3.04,0.31,0.03,0,0,0,30.16,72.36,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,35,3.55,0.36,0.04,0,0,0,35.18,98.49,,
Saurauia nepalensis,21,2.13,0.22,0.02,0,0,0,21.11,35.46,,
Saurauia nepalensis,22,2.23,0.23,0.02,0,0,0,22.11,38.91,,
,,,,,,,,,,,
,,,,,,,,,,,
Year 12. site 2,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Cinnamomum tamala,15,0,0,0,0,0,0,15.00,17.9,Litsea sp1,Persea sp1
Saurauia nepalensis,30,26,0,0,0,0,0,39.70,1237.79,Oxyspora sp1,Viburnum sp1
Cordia dichotoma,76,0,0,0,0,0,0,76.00,4536.47,species3,
Saurauia nepalensis,27,26,0,0,0,0,0,37.48,1103.49,Casearia varica,
Vatica semifera,35,32,0,0,0,0,0,47.42,1766.36,,
Saurauia nepalensis,32,32,0,0,0,0,0,45.25,1608.5,,
Saurauia nepalensis,40,40,0,0,0,0,0,56.57,2513.28,,
Vatica semifera,35,0,0,0,0,0,0,35.00,962.12,,
Maesa sp2,33,0,0,0,0,0,0,33.00,855.3,,
Casearia varica,40,0,0,0,0,0,0,40.00,1256.64,,
Syzigium macrocarpum,22,0,0,0,0,0,0,22.00,380.13,,
Cinnamomum tamala,28,0,0,0,0,0,0,28.00,615.75,,
Casearia varica,35,0,0,0,0,0,0,35.00,962.12,,
,,,,,,,,,,,
Point 2,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Macaranga denticulata,65,0,0,0,0,0,0,65.00,336.21,Vatica semifera,Persea sp1
Macaranga denticulata,40,45,40,26,0,0,0,76.82,469.59,Maesa sp1,Vatica semifera
Casearia varica,33,0,0,0,0,0,0,33.00,86.66,Maesa sp1,Casearia varica
Viburnum sp1,23,0,0,0,0,0,0,23.00,42.1,Maesa sp1,
Terminalia myriocarpa,100,90,85,0,0,0,0,159.14,2015.29,Lauraceae sp1,
Viburnum sp1,31,0,0,0,0,0,0,31.00,76.47,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Casearia varica,
species3,60,0,0,0,0,0,0,60.00,286.48,,
Viburnum sp1,31,0,0,0,0,0,0,31.00,76.47,,
Viburnum sp1,32,0,0,0,0,0,0,32.00,81.49,,
Viburnum sp1,30,0,0,0,0,0,0,30.00,71.62,,
Viburnum sp1,34,0,0,0,0,0,0,34.00,91.99,,
Viburnum sp1,35,0,0,0,0,0,0,35.00,97.48,,
Viburnum sp1,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,21,0,0,0,0,0,0,21.00,35.09,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
,,,,,,,,,,,
Point 3,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,Litsea sp1,Lauraceae sp1
Vatica semifera,30,35,23,0,0,0,0,51.52,211.2,Lauraceae sp1,Lauraceae sp1
Engelhardia sp1,40,0,0,0,0,0,0,40.00,127.32,Lauraceae sp1,Lauraceae sp1
Vatica semifera,33,0,0,0,0,0,0,33.00,86.66,Casearia varica,Litsea sp1
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,Casearia varica
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,50,0,0,0,0,0,0,50.00,198.94,,
Saurauia nepalensis,45,0,0,0,0,0,0,45.00,161.14,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,34,0,0,0,0,0,0,34.00,91.99,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
,,,,,,,,,,,
Point 4,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Vatica semifera,39,30,0,0,0,0,0,49.20,192.66,Meliosma sp1,Casearia varica
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Lauraceae sp1,Viburnum sp1
species3,33,0,0,0,0,0,0,33.00,86.66,Lauraceae sp1,Persea sp1
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Lauraceae sp1,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Lauraceae sp1,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Persea sp1,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,species26,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Saurauia nepalensis,34,0,0,0,0,0,0,34.00,91.99,,
Saurauia nepalensis,34,0,0,0,0,0,0,34.00,91.99,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
Saurauia nepalensis,35,0,0,0,0,0,0,35.00,97.48,,
,,,,,,,,,,,
Point 5,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Altingia excelsa,40,0,0,0,0,0,0,40.00,127.32,Meliosma sp1,Casearia varica
Ixonanthes khasiana,31,0,0,0,0,0,0,31.00,76.47,Meliosma sp1,Casearia varica
Meliosma sp1,14,0,0,0,0,0,0,14.00,15.6,Lauraceae sp1,Casearia varica
Meliosma sp1,12,0,0,0,0,0,0,12.00,11.46,Maesa sp1,Casearia varica
Meliosma sp1,12,0,0,0,0,0,0,12.00,11.46,Persea sp1,Persea sp1
Ixonanthes khasiana,31,0,0,0,0,0,0,31.00,76.47,Casearia varica,species3
