Uncut forest. Site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis kurzii,35,0,0,0,0,0,0,35,97.48,Cinnamomum tamala,Ixonanthes khasiana
Ixonanthes khasiana,37,0,0,0,0,0,0,37,108.94,Oxyspora sp1,Ixonanthes khasiana
Ixonanthes khasiana,41,0,0,0,0,0,0,41,133.77,Lauraceae sp1,Cinnamomum tamala
Garcinia pedunculata,40,0,0,0,0,0,0,40,127.32,Clerodendrum griffithianum,
Garcinia pedunculata,28,0,0,0,0,0,0,28,62.39,,
Altingia excelsa,104,0,0,0,0,0,0,104,860.71,,
Altingia excelsa,88,0,0,0,0,0,0,88,616.25,,
Altingia excelsa,55,0,0,0,0,0,0,55,240.72,,
Castanopsis kurzii,90,0,0,0,0,0,0,90,644.58,,
Ixonanthes khasiana,45,0,0,0,0,0,0,45,161.14,,
Castanopsis kurzii,32,0,0,0,0,0,0,32,81.49,,
Ixonanthes khasiana,101,0,0,0,0,0,0,101,811.77,,
Citrus sp1,85,0,0,0,0,0,0,85,574.95,,
Altingia excelsa,120,0,0,0,0,0,0,120,1145.91,,
Altingia excelsa,110,0,0,0,0,0,0,110,962.89,,
Linociera macrophylla,105,0,0,0,0,0,0,105,877.34,,
Engelhardia sp1,180,0,0,0,0,0,0,180,2578.3,,
,,,,,,,,,,,
Point 5,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis kurzii,220,185,0,0,0,0,0,287.4456470361,6575.07,0,Ixonanthes khasiana
Linociera macrophylla,60,0,0,0,0,0,0,60,286.48,,
Diospyros sp1,40,0,0,0,0,0,0,40,127.32,,
Castanopsis kurzii,42,0,0,0,0,0,0,42,140.37,,
Ixonanthes khasiana,26,0,0,0,0,0,0,26,53.79,,
Helicia nilagiricaong,85,45,37,0,0,0,0,103.0485322554,845.03,,
Linociera macrophylla,95,55,28,0,0,0,0,113.287245531,1021.29,,
Linociera macrophylla,35,0,0,0,0,0,0,35,97.48,,
species4,36,0,0,0,0,0,0,36,103.13,,
Clerodendrum griffithianum,13,0,0,0,0,0,0,13,13.45,,
Castanopsis tribuloides,21,0,0,0,0,0,0,21,35.09,,
Ficus sp3,13,0,0,0,0,0,0,13,13.45,,
Castanopsis tribuloides,60,28,0,0,0,0,0,66.211781429,348.87,,
Linociera macrophylla,35,0,0,0,0,0,0,35,97.48,,
,,,,,,,,,,,
Point 6,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis tribuloides,105,0,0,0,0,0,0,105,877.34,Oxyspora sp1,Litsea sp1
Ixonanthes khasiana,65,0,0,0,0,0,0,65,336.21,Oxyspora sp1,Ixonanthes khasiana
Ixonanthes khasiana,70,49,0,0,0,0,0,85.4458893101,580.99,Oxyspora sp1,Oxyspora sp1
Ficus sp3,47,28,32,0,0,0,0,63.37980751,319.66,Oxyspora sp1,Cinnamomum tamala
Castanopsis tribuloides,29,0,0,0,0,0,0,29,66.92,Oxyspora sp1,
Altingia excelsa,55,37,0,0,0,0,0,66.2872536767,349.66,Ixonanthes khasiana,
Ixonanthes khasiana,12,0,0,0,0,0,0,12,11.46,Litsea sp1,
Cinnamomum tamala,33,0,0,0,0,0,0,33,86.66,Litsea sp1,
Ixonanthes khasiana,33,0,0,0,0,0,0,33,86.66,Litsea sp1,
Castanopsis sp1,37,0,0,0,0,0,0,37,108.94,Litsea sp1,
Ixonanthes khasiana,27,0,0,0,0,0,0,27,58.01,Litsea sp1,
Ixonanthes khasiana,37,0,0,0,0,0,0,37,108.94,Litsea sp1,
Linociera macrophylla,48,0,0,0,0,0,0,48,183.35,,
Ixonanthes khasiana,90,0,0,0,0,0,0,90,644.58,,
Ixonanthes khasiana,87,50,0,0,0,0,0,100.3444069194,801.26,,
Ficus sp3,55,0,0,0,0,0,0,55,240.72,,
,,,,,,,,,,,
Point 7,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ixonanthes khasiana,130,0,0,0,0,0,0,130,1344.86,Clerodendrum griffithianum,Ixonanthes khasiana
